Posted On,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
5/10/2022,1,760000,125,1 out of 2,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/10/2022,3,19000000,1800,3 out of 5,Super Area,Makassar,Furnished,Bachelors/Family,3,Contact Owner,IDR
6/16/2022,3,3800000,1300,1 out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
6/20/2022,3,5700000,2000,7 out of 10,Super Area,Denpasar,Semi-Furnished,Family,2,Contact Owner,IDR
6/14/2022,2,28500000,1200,2 out of 3,Carpet Area,Palembang,Furnished,Bachelors,2,Contact Owner,IDR
6/30/2022,3,3705000,125,1 out of 4,Super Area,Malang,Unfurnished,Bachelors,2,Contact Owner,IDR
5/24/2022,2,3420000,730,2 out of 3,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
5/7/2022,2,4750000,160,3 out of 3,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,2,3420000,1000,Ground out of 2,Super Area,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,1,1900000,450,1 out of 5,Super Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,2280000,75,2 out of 4,Super Area,Semarang,Furnished,Bachelors/Family,2,Contact Owner,IDR
6/18/2022,3,4750000,2000,1 out of 3,Super Area,Makassar,Semi-Furnished,Bachelors,3,Contact Agent,IDR
6/18/2022,4,7600000,2400,4 out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors,3,Contact Agent,IDR
6/18/2022,2,5700000,1800,Ground out of 2,Super Area,Denpasar,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/18/2022,3,5510000,1800,Ground out of 3,Super Area,Palembang,Unfurnished,Family,3,Contact Agent,IDR
6/18/2022,3,6650000,2200,2 out of 4,Super Area,Malang,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/18/2022,3,3990000,2200,Ground out of 2,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/18/2022,3,5890000,900,3 out of 4,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/5/2022,2,1520000,75,2 out of 4,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,2945000,75,2 out of 4,Super Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/18/2022,3,6080000,1800,3 out of 4,Carpet Area,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/18/2022,3,5700000,160,2 out of 4,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
7/4/2022,4,7980000,2700,2 out of 4,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors,4,Contact Agent,IDR
5/23/2022,3,3895000,1050,3 out of 4,Carpet Area,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/9/2022,3,11400000,1800,2 out of 3,Super Area,Palembang,Furnished,Bachelors/Family,3,Contact Owner,IDR
5/23/2022,2,18050000,2700,1 out of 3,Super Area,Malang,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/14/2022,1,3040000,499,2 out of 3,Carpet Area,Jakarta,Semi-Furnished,Family,1,Contact Owner,IDR
5/17/2022,1,1615000,450,3 out of 4,Carpet Area,Surabaya,Unfurnished,Bachelors,1,Contact Agent,IDR
5/5/2022,1,2660000,60,3 out of 4,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/11/2022,3,26600000,2200,Ground out of 3,Super Area,Medan,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
4/29/2022,2,1520000,130,Ground out of 3,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,3,2375000,650,3 out of 4,Super Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,2,2660000,100,3 out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,2,1140000,45,2 out of 3,Super Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,2,1900000,600,2 out of 3,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/10/2022,3,2850000,800,Ground out of 4,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/8/2022,3,1520000,1500,1 out of 1,Carpet Area,Jakarta,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
7/7/2022,1,1900000,30,1 out of 5,Super Area,Surabaya,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/12/2022,1,1615000,55,Ground out of 3,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/9/2022,2,4750000,900,Ground out of 3,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/22/2022,2,2470000,1000,1 out of 2,Carpet Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/27/2022,1,1140000,360,1 out of 2,Super Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/6/2022,1,1330000,450,1 out of 4,Super Area,Yogyakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,4180000,900,4 out of 5,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,2,7600000,1100,2 out of 4,Super Area,Palembang,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,2,4180000,700,Ground out of 2,Super Area,Malang,Furnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,855000,400,1 out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,3,2850000,950,Ground out of 3,Super Area,Surabaya,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/30/2022,3,24700000,3000,1 out of 5,Super Area,Bandung,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
6/18/2022,2,4370000,950,3 out of 3,Carpet Area,Medan,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
5/27/2022,3,8550000,1100,1 out of 4,Super Area,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/29/2022,1,2850000,497,3 out of 4,Carpet Area,Makassar,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
4/29/2022,3,2470000,100,3 out of 4,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,2,1900000,70,1 out of 4,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,2,1900000,55,2 out of 4,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,1,1235000,300,4 out of 5,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/29/2022,1,1330000,400,2 out of 4,Carpet Area,Jakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
5/5/2022,2,1330000,500,2 out of 4,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/8/2022,4,3306190,650,4 out of 4,Super Area,Bandung,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/18/2022,1,1045000,630,Ground out of 2,Super Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,1,3800000,450,1 out of 3,Super Area,Semarang,Unfurnished,Family,1,Contact Owner,IDR
4/29/2022,2,1330000,500,1 out of 2,Super Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/22/2022,5,36100000,200,2 out of 2,Carpet Area,Yogyakarta,Unfurnished,Bachelors,5,Contact Agent,IDR
4/29/2022,2,2470000,95,1 out of 4,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/2/2022,4,11400000,272,Ground out of 4,Carpet Area,Palembang,Furnished,Bachelors,3,Contact Agent,IDR
5/27/2022,2,3230000,800,2 out of 4,Carpet Area,Malang,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
5/27/2022,2,3040000,50,2 out of 4,Super Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
7/5/2022,1,1805000,400,2 out of 4,Super Area,Surabaya,Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,1,950000,450,Ground out of 3,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/18/2022,3,5130000,1800,2 out of 4,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/18/2022,3,5510000,1800,2 out of 4,Carpet Area,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/18/2022,3,5510000,2000,1 out of 4,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/26/2022,4,7030000,2700,2 out of 3,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
7/4/2022,4,6840000,2700,2 out of 3,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/26/2022,3,6650000,1800,4 out of 4,Carpet Area,Palembang,Semi-Furnished,Bachelors,3,Contact Agent,IDR
5/26/2022,4,7980000,2700,2 out of 4,Carpet Area,Malang,Semi-Furnished,Bachelors,4,Contact Agent,IDR
5/26/2022,3,7030000,1800,1 out of 4,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
7/4/2022,3,5700000,1800,2 out of 3,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/8/2022,3,3800000,1200,2 out of 3,Super Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/17/2022,1,1615000,600,1 out of 4,Carpet Area,Medan,Semi-Furnished,Bachelors,1,Contact Owner,IDR
5/14/2022,1,2090000,350,2 out of 5,Super Area,Semarang,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/18/2022,2,2660000,100,2 out of 4,Super Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,3,10450000,1800,1 out of 3,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
6/18/2022,2,4750000,900,3 out of 4,Carpet Area,Denpasar,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/23/2022,3,3895000,1150,3 out of 4,Carpet Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
5/31/2022,4,5320000,1400,2 out of 4,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/10/2022,1,950000,500,Ground out of 4,Super Area,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/18/2022,4,6650000,300,2 out of 4,Carpet Area,Surabaya,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/18/2022,3,5700000,1800,2 out of 4,Carpet Area,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
6/16/2022,1,1900000,500,3 out of 4,Carpet Area,Medan,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
4/29/2022,1,2090000,500,Ground out of 4,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,3230000,80,1 out of 4,Super Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/23/2022,2,6650000,1000,2 out of 4,Super Area,Yogyakarta,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/20/2022,3,5700000,1600,6 out of 10,Super Area,Denpasar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/7/2022,4,5700000,1800,6 out of 8,Super Area,Palembang,Semi-Furnished,Bachelors/Family,4,Contact Owner,IDR
5/27/2022,2,2470000,400,Ground out of 4,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
4/29/2022,2,2470000,900,Ground out of 3,Super Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
7/7/2022,1,2090000,480,4 out of 5,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/5/2022,1,2470000,180,2 out of 2,Carpet Area,Bandung,Unfurnished,Bachelors,1,Contact Owner,IDR
7/9/2022,2,6270000,1000,1 out of 3,Carpet Area,Medan,Unfurnished,Bachelors,2,Contact Agent,IDR
5/23/2022,3,4750000,1120,2 out of 3,Super Area,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/27/2022,3,13300000,1800,2 out of 4,Carpet Area,Makassar,Semi-Furnished,Bachelors,3,Contact Agent,IDR
7/2/2022,3,5700000,1200,1 out of 3,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/21/2022,1,1710000,550,1 out of 4,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
6/30/2022,2,2755000,1400,3 out of 4,Super Area,Palembang,Unfurnished,Bachelors,1,Contact Owner,IDR
5/27/2022,3,9500000,1600,2 out of 4,Carpet Area,Malang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/16/2022,1,3800000,650,1 out of 4,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
4/29/2022,4,2850000,120,Ground out of 2,Super Area,Surabaya,Furnished,Bachelors/Family,4,Contact Owner,IDR
6/2/2022,2,1425000,450,1 out of 3,Carpet Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/7/2022,1,2565000,520,Ground out of 4,Super Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/13/2022,1,2660000,850,2 out of 4,Super Area,Semarang,Semi-Furnished,Bachelors,1,Contact Owner,IDR
6/24/2022,2,3420000,850,1 out of 4,Carpet Area,Makassar,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/9/2022,2,2660000,585,2 out of 4,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/11/2022,3,12350000,1600,Ground out of 4,Carpet Area,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
5/5/2022,2,4180000,950,2 out of 5,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,760000,120,1 out of 2,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/14/2022,2,1900000,500,3 out of 3,Super Area,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/14/2022,1,1425000,200,2 out of 4,Carpet Area,Surabaya,Unfurnished,Bachelors,1,Contact Agent,IDR
5/5/2022,1,3230000,550,2 out of 4,Super Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/6/2022,1,3420000,650,2 out of 4,Carpet Area,Medan,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
7/7/2022,4,13300000,2800,6 out of 10,Carpet Area,Semarang,Unfurnished,Bachelors,4,Contact Agent,IDR
6/30/2022,1,1900000,50,3 out of 4,Super Area,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/8/2022,2,2850000,550,4 out of 4,Carpet Area,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,2,3135000,90,4 out of 5,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/30/2022,3,19000000,2925,1 out of 4,Super Area,Palembang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/28/2022,1,1425000,150,4 out of 4,Carpet Area,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/26/2022,2,1140000,450,1 out of 3,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/8/2022,2,3420000,750,4 out of 4,Carpet Area,Surabaya,Unfurnished,Bachelors,2,Contact Owner,IDR
5/22/2022,2,3420000,975,Ground out of 3,Super Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,3,1520000,106,Ground out of 4,Super Area,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,2660000,750,4 out of 6,Super Area,Semarang,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/10/2022,2,2090000,80,2 out of 4,Super Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,3,4750000,96,2 out of 5,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,1710000,500,1 out of 3,Super Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/14/2022,3,8930000,1550,Ground out of 3,Carpet Area,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/7/2022,2,3800000,1000,3 out of 3,Super Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,1,1140000,400,2 out of 4,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,1,950000,450,1 out of 4,Super Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,2,3800000,1000,3 out of 4,Super Area,Bandung,Semi-Furnished,Family,1,Contact Owner,IDR
4/29/2022,1,1900000,450,2 out of 4,Super Area,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,3,2850000,100,3 out of 4,Super Area,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,2,2565000,550,2 out of 4,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
5/10/2022,1,1045000,400,2 out of 3,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/10/2022,1,2660000,60,1 out of 5,Super Area,Denpasar,Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,4,3420000,900,3 out of 5,Super Area,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
4/27/2022,1,3800000,700,1 out of 5,Super Area,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/28/2022,2,1767000,500,2 out of 4,Super Area,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/14/2022,3,15200000,2000,2 out of 4,Carpet Area,Surabaya,Furnished,Bachelors,3,Contact Agent,IDR
7/4/2022,2,1425000,400,2 out of 3,Carpet Area,Bandung,Semi-Furnished,Bachelors,1,Contact Owner,IDR
6/27/2022,3,5700000,1500,1 out of 4,Carpet Area,Medan,Unfurnished,Bachelors,2,Contact Agent,IDR
4/29/2022,2,2470000,70,2 out of 4,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/1/2022,2,1615000,60,2 out of 4,Super Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/24/2022,3,8417000,200,1 out of 4,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors,3,Contact Agent,IDR
7/4/2022,2,8550000,1650,2 out of 4,Carpet Area,Denpasar,Furnished,Bachelors,2,Contact Agent,IDR
6/22/2022,2,5700000,1150,3 out of 3,Carpet Area,Palembang,Unfurnished,Bachelors,2,Contact Agent,IDR
5/30/2022,2,7600000,1800,Ground out of 3,Carpet Area,Malang,Furnished,Bachelors,2,Contact Agent,IDR
6/11/2022,4,100700000,4000,3 out of 4,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
5/14/2022,2,2280000,900,1 out of 2,Super Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/15/2022,2,2565000,700,1 out of 2,Super Area,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/28/2022,2,5700000,900,2 out of 4,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/3/2022,1,1805000,400,2 out of 2,Super Area,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/16/2022,4,38000000,2700,Ground out of 3,Carpet Area,Makassar,Unfurnished,Bachelors,4,Contact Agent,IDR
5/10/2022,3,5700000,2000,Ground out of 2,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
5/14/2022,2,1710000,450,1 out of 3,Super Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/4/2022,2,2470000,400,2 out of 4,Carpet Area,Palembang,Unfurnished,Bachelors,1,Contact Agent,IDR
5/14/2022,2,1330000,500,1 out of 5,Super Area,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/9/2022,1,3420000,450,1 out of 4,Carpet Area,Jakarta,Furnished,Bachelors/Family,1,Contact Agent,IDR
5/14/2022,1,665000,350,1 out of 3,Super Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/3/2022,4,12350000,272,1 out of 4,Carpet Area,Bandung,Unfurnished,Bachelors/Family,4,Contact Agent,IDR
6/13/2022,1,3610000,545,2 out of 3,Super Area,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/10/2022,2,4370000,84,Ground out of 4,Super Area,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/16/2022,1,2280000,600,2 out of 4,Super Area,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
6/30/2022,2,2850000,75,3 out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/8/2022,3,7220000,165,2 out of 4,Carpet Area,Denpasar,Semi-Furnished,Bachelors,2,Contact Owner,IDR
7/4/2022,3,9500000,1100,1 out of 4,Carpet Area,Palembang,Unfurnished,Bachelors,3,Contact Agent,IDR
6/2/2022,1,1235000,500,3 out of 3,Super Area,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,3,6650000,150,1 out of 3,Carpet Area,Jakarta,Semi-Furnished,Bachelors,3,Contact Agent,IDR
5/5/2022,2,2850000,70,2 out of 5,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,3,5700000,250,1 out of 2,Super Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/5/2022,2,1900000,70,1 out of 5,Super Area,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
7/6/2022,1,3420000,300,3 out of 4,Carpet Area,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
6/20/2022,3,5700000,1800,1 out of 4,Carpet Area,Makassar,Semi-Furnished,Bachelors,3,Contact Agent,IDR
5/27/2022,1,3040000,400,3 out of 4,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
5/21/2022,3,4180000,1250,2 out of 3,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/8/2022,2,1710000,480,1 out of 4,Super Area,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/17/2022,2,3838000,84,2 out of 4,Carpet Area,Malang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/15/2022,2,3705000,84,2 out of 4,Carpet Area,Jakarta,Semi-Furnished,Bachelors,2,Contact Agent,IDR
7/9/2022,2,3990000,600,3 out of 4,Carpet Area,Surabaya,Semi-Furnished,Bachelors,2,Contact Agent,IDR
7/6/2022,2,3800000,600,Ground out of 4,Carpet Area,Bandung,Semi-Furnished,Bachelors,2,Contact Agent,IDR
5/14/2022,2,2470000,720,2 out of 4,Super Area,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/27/2022,2,1235000,75,1 out of 1,Carpet Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,3,4750000,1000,1 out of 4,Super Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/19/2022,2,3800000,900,2 out of 4,Carpet Area,Yogyakarta,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/28/2022,2,6270000,2200,1 out of 1,Carpet Area,Denpasar,Semi-Furnished,Family,2,Contact Owner,IDR
6/3/2022,3,3420000,900,Ground out of 4,Carpet Area,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/31/2022,1,2470000,550,3 out of 3,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,2,1900000,450,4 out of 5,Super Area,Jakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
4/29/2022,2,1900000,470,2 out of 4,Super Area,Surabaya,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/10/2022,3,4370000,125,3 out of 4,Super Area,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/27/2022,1,3800000,400,3 out of 4,Carpet Area,Medan,Furnished,Bachelors/Family,1,Contact Agent,IDR
5/23/2022,4,28500000,2600,2 out of 2,Carpet Area,Semarang,Semi-Furnished,Bachelors/Family,4,Contact Owner,IDR
5/14/2022,3,4750000,1500,5 out of 10,Carpet Area,Makassar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/10/2022,2,3990000,80,3 out of 4,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,3,5700000,1100,3 out of 3,Carpet Area,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
6/4/2022,2,4180000,1000,4 out of 5,Super Area,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
4/29/2022,2,2660000,800,3 out of 5,Super Area,Malang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/23/2022,2,1330000,50,2 out of 5,Super Area,Jakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
5/23/2022,2,3515000,1000,2 out of 5,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/18/2022,1,1615000,550,2 out of 3,Carpet Area,Bandung,Unfurnished,Bachelors,1,Contact Agent,IDR
5/18/2022,1,1520000,450,Ground out of 4,Carpet Area,Medan,Unfurnished,Bachelors,1,Contact Agent,IDR
7/5/2022,2,1900000,670,2 out of 4,Super Area,Semarang,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,2,2850000,700,1 out of 3,Super Area,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,3,7030000,125,3 out of 4,Super Area,Yogyakarta,Semi-Furnished,Bachelors,2,Contact Owner,IDR
6/30/2022,3,17100000,1872,1 out of 5,Super Area,Denpasar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
5/18/2022,2,2280000,650,2 out of 4,Carpet Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/18/2022,2,2470000,550,1 out of 4,Carpet Area,Malang,Unfurnished,Bachelors,2,Contact Agent,IDR
5/21/2022,2,4180000,84,Ground out of 4,Carpet Area,Jakarta,Semi-Furnished,Bachelors,2,Contact Agent,IDR
6/19/2022,1,760000,90,Ground out of 2,Super Area,Surabaya,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/4/2022,2,2280000,1000,1 out of 4,Super Area,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/14/2022,1,1710000,65,3 out of 4,Super Area,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/5/2022,2,2660000,75,2 out of 4,Super Area,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
7/6/2022,1,2850000,250,Ground out of 4,Carpet Area,Makassar,Furnished,Bachelors,1,Contact Agent,IDR
5/10/2022,2,2375000,900,3 out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors,2,Contact Owner,IDR
